majors,links
"Scandinavian Studies, B.A.",http://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/scandinavian-studies-ba/
"Scandinavian Studies, B.S.",http://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/scandinavian-studies-bs/
"Scandinavian Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/scandinavian-studies-certificate/
"Science of Fermented Foods and Beverages, Certificate",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/food-science/science-fermented-food-beverages-certificate/
"Social Welfare, B.A.",http://guide.wisc.edu/undergraduate/letters-science/social-work/social-welfare-ba/
"Social Welfare, B.S.",http://guide.wisc.edu/undergraduate/letters-science/social-work/social-welfare-bs/
"Social Work, BSW",http://guide.wisc.edu/undergraduate/letters-science/social-work/social-work-bsw/
"Sociology, B.A.",http://guide.wisc.edu/undergraduate/letters-science/sociology/sociology-ba/
"Sociology, B.S.",http://guide.wisc.edu/undergraduate/letters-science/sociology/sociology-bs/
"Soil Science, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/soil-science/soil-science-bs/
"South Asian Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/south-asian-studies-certificate/
"Southeast Asian Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/southeast-asian-studies-certificate/
"Spanish, B.A.",http://guide.wisc.edu/undergraduate/letters-science/spanish-portuguese/spanish-ba/
"Spanish, B.S.",http://guide.wisc.edu/undergraduate/letters-science/spanish-portuguese/spanish-bs/
"Spanish, BSE",http://guide.wisc.edu/undergraduate/education/curriculum-instruction/spanish-bse/
"Spanish Studies for Business Students, Certificate",http://guide.wisc.edu/undergraduate/letters-science/spanish-portuguese/spanish-studies-business-students-certificate/
"Special Education, BSE",http://guide.wisc.edu/undergraduate/education/rehabilitation-psychology-special-education/special-education-bse/
"Sports Communication, Certificate",https://guide.wisc.edu/undergraduate/letters-science/journalism-mass-communication/sports-communication-certificate/
"Statistics, B.A.",http://guide.wisc.edu/undergraduate/letters-science/statistics/statistics-ba/
"Statistics, B.S.",http://guide.wisc.edu/undergraduate/letters-science/statistics/statistics-bs/
"Supply Chain Management, Certificate",http://guide.wisc.edu/undergraduate/business/school-wide/supply-chain-management-certificate/
"Sustainability, Certificate",http://guide.wisc.edu/undergraduate/environmental-studies/environmental-studies/sustainability-certificate/
"Teaching English to Speakers of Other Languages, Certificate",http://guide.wisc.edu/undergraduate/letters-science/english/teaching-english-speakers-other-languages-certificate/
"Technical Communication, Certificate",https://guide.wisc.edu/undergraduate/engineering/college-wide/technical-communication-certificate/
"Technical Japanese Studies for Undergraduates, Certificate",https://guide.wisc.edu/undergraduate/engineering/college-wide/technical-japanese-studies-undergraduates-certificate/
"Textiles and Design, Certificate",https://guide.wisc.edu/undergraduate/human-ecology/design-studies/textiles-design-certificate/
"Textiles and Fashion Design, B.S.",http://guide.wisc.edu/undergraduate/human-ecology/design-studies/textiles-fashion-design-bs/
"Theatre and Drama, B.S.",http://guide.wisc.edu/undergraduate/education/theatre-drama/theatre-drama-bs/
"Theatre, Certificate",https://guide.wisc.edu/undergraduate/education/theatre-drama/theatre-certificate/
"Wildlife Ecology, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/forest-wildlife-ecology/wildlife-ecology-bs/
"Zoology, B.A.",http://guide.wisc.edu/undergraduate/letters-science/integrative-biology/zoology-ba/
"Zoology, B.S.",http://guide.wisc.edu/undergraduate/letters-science/integrative-biology/zoology-bs/
