majors,links
"Business: Risk Management and Insurance, BBA",http://guide.wisc.edu/undergraduate/business/risk-insurance/business-risk-management-insurance-bba/
"Cartography and Geographic Information Systems, B.A.",http://guide.wisc.edu/undergraduate/letters-science/geography/cartography-geographic-information-systems-ba/
"Cartography and Geographic Information Systems, B.S.",http://guide.wisc.edu/undergraduate/letters-science/geography/cartography-geographic-information-systems-bs/
"Chemical Engineering, B.S.",http://guide.wisc.edu/undergraduate/engineering/chemical-biological-engineering/chemical-engineering-bs/
"Chemistry, B.A.",http://guide.wisc.edu/undergraduate/letters-science/chemistry/chemistry-ba/
"Chemistry, B.S.",http://guide.wisc.edu/undergraduate/letters-science/chemistry/chemistry-bs/
"Chicana/o and Latina/o Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/chicana-chicano-latina-latino-studies/chicana-chicano-latina-latino-studies-certificate/
"Chinese, B.A.",http://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/chinese-ba/
"Chinese, B.S.",http://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/chinese-bs/
"Chinese, BSE",http://guide.wisc.edu/undergraduate/education/curriculum-instruction/chinese-bse/
"Chinese Professional Communication, Certificate",https://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/chinese-professional-communication-certificate/
"Civil Engineering, B.S.",http://guide.wisc.edu/undergraduate/engineering/civil-environmental-engineering/civil-engineering-bs/
"Classical Humanities, B.A.",http://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classical-humanities-ba/
"Classical Humanities, B.S.",http://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classical-humanities-bs/
"Classical Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classical-studies-certificate/
"Classics, B.A.",http://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classics-ba/
"Classics, B.S.",http://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/classics-bs/
"Communication Arts, B.A.",http://guide.wisc.edu/undergraduate/letters-science/communication-arts/communication-arts-ba/
"Communication Arts, B.S.",http://guide.wisc.edu/undergraduate/letters-science/communication-arts/communication-arts-bs/
"Communication Sciences and Disorders, B.A.",http://guide.wisc.edu/undergraduate/letters-science/communication-sciences-disorders/communication-sciences-disorders-ba/
"Communication Sciences and Disorders, B.S.",http://guide.wisc.edu/undergraduate/letters-science/communication-sciences-disorders/communication-sciences-disorders-bs/
"Communication Sciences and Disorders, BSE",http://guide.wisc.edu/undergraduate/education/curriculum-instruction/communication-sciences-disorders-bse/
"Community and Environmental Sociology, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/community-environmental-sociology/community-environmental-sociology-bs/
"Community and Nonprofit Leadership, B.S.",http://guide.wisc.edu/undergraduate/human-ecology/civil-society-community-studies/community-nonprofit-leadership-bs/
"Computer Engineering, B.S.",http://guide.wisc.edu/undergraduate/engineering/electrical-computer-engineering/computer-engineering-bs/
"Computer Sciences, B.A.",http://guide.wisc.edu/undergraduate/letters-science/computer-sciences/computer-sciences-ba/
"Computer Sciences, B.S.",http://guide.wisc.edu/undergraduate/letters-science/computer-sciences/computer-sciences-bs/
"Computer Sciences, Certificate",http://guide.wisc.edu/undergraduate/letters-science/computer-sciences/computer-sciences-certificate/
"Conservation Biology, B.A.",http://guide.wisc.edu/undergraduate/letters-science/botany/conservation-biology-ba/
"Conservation Biology, B.S.",http://guide.wisc.edu/undergraduate/letters-science/botany/conservation-biology-bs/
"Criminal Justice, Certificate",http://guide.wisc.edu/undergraduate/letters-science/center-law-society-justice/criminal-justice-certificate/
"Dairy Science, B.S.",https://guide.wisc.edu/undergraduate/agricultural-life-sciences/animal-dairy-sciences/dairy-science-bs/
"Dance, B.S.",http://guide.wisc.edu/undergraduate/education/dance/dance-bs/
"Dance, BFA",http://guide.wisc.edu/undergraduate/education/dance/dance-bfa/
"Dance, Certificate",http://guide.wisc.edu/undergraduate/education/dance/dance-certificate/
"Data Science, B.A.",https://guide.wisc.edu/undergraduate/letters-science/statistics/data-science-ba/
"Data Science, B.S.",https://guide.wisc.edu/undergraduate/letters-science/statistics/data-science-bs/
"Design Strategy, Certificate",https://guide.wisc.edu/undergraduate/human-ecology/school-wide/design-strategy-certificate/
"Development Economics, Certificate",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/agricultural-applied-economics/development-economics-certificate/
"Digital Cinema Production, Certificate",https://guide.wisc.edu/undergraduate/letters-science/communication-arts/digital-cinema-production-certificate/
"Digital Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/communication-arts/digital-studies-certificate/
"Disability Rights and Services, Certificate",https://guide.wisc.edu/undergraduate/education/rehabilitation-psychology-special-education/disability-rights-services-certificate/
"East Asian Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/east-asian-studies-certificate/
"East Central European Languages, Literatures, and Cultures, Certificate",http://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/east-central-european-languages-literatures-cultures-certificate/
"Economics, B.A.",http://guide.wisc.edu/undergraduate/letters-science/economics/economics-ba/
"Economics, B.S.",http://guide.wisc.edu/undergraduate/letters-science/economics/economics-bs/
"Education and Educational Services, Certificate",http://guide.wisc.edu/undergraduate/education/educational-psychology/education-educational-services-certificate/
"Education Studies, B.S.",http://guide.wisc.edu/undergraduate/education/educational-policy-studies/education-studies-bs/
"Educational Policy Studies, Certificate",http://guide.wisc.edu/undergraduate/education/educational-policy-studies/educational-policy-studies-certificate/
"Electrical Engineering, B.S.",http://guide.wisc.edu/undergraduate/engineering/electrical-computer-engineering/electrical-engineering-bs/
"Elementary Education, BSE",http://guide.wisc.edu/undergraduate/education/curriculum-instruction/elementary-education-bse/
"Engineering for Energy Sustainability, Certificate",http://guide.wisc.edu/undergraduate/engineering/engineering-physics/engineering-energy-sustainability-certificate/
"Engineering Mechanics, B.S.",http://guide.wisc.edu/undergraduate/engineering/engineering-physics/engineering-mechanics-bs/
"Engineering Physics, B.S.",http://guide.wisc.edu/undergraduate/engineering/engineering-physics/engineering-physics-bs/
"Engineering Thermal Energy Systems, Certificate",http://guide.wisc.edu/undergraduate/engineering/mechanical-engineering/engineering-thermal-energy-systems-certificate/
"English, B.A.",http://guide.wisc.edu/undergraduate/letters-science/english/english-ba/
"English, B.S.",http://guide.wisc.edu/undergraduate/letters-science/english/english-bs/
"Entomology, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/entomology/entomology-bs/
"Entrepreneurship, Certificate",http://guide.wisc.edu/undergraduate/business/management-human-resources/entrepreneurship-certificate/
"Environmental Sciences, B.A. (L&S)",http://guide.wisc.edu/undergraduate/letters-science/atmospheric-oceanic-sciences/environmental-sciences-ba/
"Environmental Sciences, B.S. (CALS)",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/soil-science/environmental-sciences-bs/
"Environmental Sciences, B.S. (L&S)",http://guide.wisc.edu/undergraduate/letters-science/atmospheric-oceanic-sciences/environmental-sciences-bs/
"Environmental Studies, Certificate",http://guide.wisc.edu/undergraduate/environmental-studies/environmental-studies/environmental-studies-certificate/
Environmental Studies Major,http://guide.wisc.edu/undergraduate/letters-science/environmental-studies/environmental-studies-major/
"European Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/european-studies-certificate/
"Folklore, Certificate",https://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/folklore-certificate/
"Food Science, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/food-science/food-science-bs/
"Food Systems, Certificate",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/community-environmental-sociology/food-systems-certificate/
"Forest Science, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/forest-wildlife-ecology/forest-science-bs/
"French, B.A.",http://guide.wisc.edu/undergraduate/letters-science/french-italian/french-ba/
"French, B.S.",http://guide.wisc.edu/undergraduate/letters-science/french-italian/french-bs/
"French, BSE",http://guide.wisc.edu/undergraduate/education/curriculum-instruction/french-bse/
"French, Certificate",http://guide.wisc.edu/undergraduate/letters-science/french-italian/french-certificate/
"Game Design, Certificate",https://guide.wisc.edu/undergraduate/education/curriculum-instruction/game-design-certificate/
"Gender and Women's Studies, B.A.",http://guide.wisc.edu/undergraduate/letters-science/gender-womens-studies/gender-womens-studies-ba/
"Gender and Women's Studies, B.S.",http://guide.wisc.edu/undergraduate/letters-science/gender-womens-studies/gender-womens-studies-bs/
"Gender and Women's Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/gender-womens-studies/gender-womens-studies-certificate/
"Genetics and Genomics, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/genetics/genetics-genomics-bs/
"Geography, B.A.",http://guide.wisc.edu/undergraduate/letters-science/geography/geography-ba/
"Geography, B.S.",http://guide.wisc.edu/undergraduate/letters-science/geography/geography-bs/
"Geological Engineering, B.S.",http://guide.wisc.edu/undergraduate/engineering/civil-environmental-engineering/geological-engineering-bs/
"Geology and Geophysics, B.A.",http://guide.wisc.edu/undergraduate/letters-science/geoscience/geology-geophysics-ba/
"Geology and Geophysics, B.S.",http://guide.wisc.edu/undergraduate/letters-science/geoscience/geology-geophysics-bs/
"German, B.A.",http://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/german-ba/
"German, B.S.",http://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/german-bs/
"German, BSE",http://guide.wisc.edu/undergraduate/education/curriculum-instruction/german-bse/
"German, Certificate",http://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/german-certificate/
"Global Health, Certificate",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/nutritional-sciences/global-health-certificate/
"Graphic Design, Certificate",https://guide.wisc.edu/undergraduate/education/art/graphic-design-certificate/
"Health and the Humanities, Certificate",http://guide.wisc.edu/undergraduate/letters-science/english/health-humanities-certificate/
"Health Promotion and Health Equity, B.S.",https://guide.wisc.edu/undergraduate/education/kinesiology/health-promo-health-equity-bs/
"History, B.A.",http://guide.wisc.edu/undergraduate/letters-science/history/history-ba/
"History, B.S.",http://guide.wisc.edu/undergraduate/letters-science/history/history-bs/
"Horticulture, B.S.",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/horticulture/horticulture-bs/
"Human Development and Family Studies, B.S.",http://guide.wisc.edu/undergraduate/human-ecology/human-development-family-studies/human-development-family-studies-bs/
"Individual Major, B.A. (L&S)",http://guide.wisc.edu/undergraduate/letters-science/college-wide/individual-major-ba/
"Individual Major, B.S. (CALS)",http://guide.wisc.edu/undergraduate/agricultural-life-sciences/college-wide/individual-major-bs/
"Individual Major, B.S. (L&S)",http://guide.wisc.edu/undergraduate/letters-science/college-wide/individual-major-bs/
"Individual Major, B.S. (SoHE)",http://guide.wisc.edu/undergraduate/human-ecology/school-wide/individual-major-bs/
"Individual Major, BSE",http://guide.wisc.edu/undergraduate/education/school-wide/individual-major-bse/
"Industrial Engineering, B.S.",http://guide.wisc.edu/undergraduate/engineering/industrial-systems-engineering/industrial-engineering-bs/
"Integrated Liberal Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/integrated-liberal-studies/integrated-liberal-studies-certificate/
"Integrated Studies in Science, Engineering, and Society, Certificate",http://guide.wisc.edu/undergraduate/letters-science/sociology/integrated-studies-science-engineering-society-certificate/
"Interior Architecture, B.S.",http://guide.wisc.edu/undergraduate/human-ecology/design-studies/interior-architecture-bs/
"International Engineering, Certificate",http://guide.wisc.edu/undergraduate/engineering/college-wide/international-engineering-certificate/
"International Studies, B.A.",http://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/international-studies-ba/
"International Studies, B.S.",http://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/international-studies-bs/
"Introductory Studies in Dance/Movement Therapy, Certificate",http://guide.wisc.edu/undergraduate/education/dance/introductory-studies-dance-movement-therapy-certificate/
"Italian, B.A.",http://guide.wisc.edu/undergraduate/letters-science/french-italian/italian-ba/
"Italian, B.S.",http://guide.wisc.edu/undergraduate/letters-science/french-italian/italian-bs/
"Italian, BSE",http://guide.wisc.edu/undergraduate/education/curriculum-instruction/italian-bse/
"Italian, Certificate",http://guide.wisc.edu/undergraduate/letters-science/french-italian/italian-certificate/
"Japanese, B.A.",http://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/japanese-ba/
"Japanese, B.S.",http://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/japanese-bs/
"Japanese, BSE",http://guide.wisc.edu/undergraduate/education/curriculum-instruction/japanese-bse/
"Japanese Professional Communication, Certificate",http://guide.wisc.edu/undergraduate/letters-science/asian-languages-cultures/japanese-professional-communication-certificate/
"Jewish Studies, B.A.",http://guide.wisc.edu/undergraduate/letters-science/center-jewish-studies/jewish-studies-ba/
"Jewish Studies, B.S.",http://guide.wisc.edu/undergraduate/letters-science/center-jewish-studies/jewish-studies-bs/
"Jewish Studies, Certificate",http://guide.wisc.edu/undergraduate/letters-science/center-jewish-studies/jewish-studies-certificate/
"Journalism, JBA",http://guide.wisc.edu/undergraduate/letters-science/journalism-mass-communication/journalism-mass-communication-jba/
"Journalism, JBS",http://guide.wisc.edu/undergraduate/letters-science/journalism-mass-communication/journalism-mass-communication-jbs/
"Kinesiology, B.S.",http://guide.wisc.edu/undergraduate/education/kinesiology/kinesiology-bs/
